
2024/11/04 (20:23:36) | ===> btop++ v.1.4.0
2024/11/04 (20:23:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (07:50:55) | ===> btop++ v.1.4.0
2024/11/05 (07:50:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (17:03:09) | ===> btop++ v.1.4.0
2024/11/05 (17:03:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (08:04:33) | ===> btop++ v.1.4.0
2024/11/06 (08:04:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (13:12:52) | ===> btop++ v.1.4.0
2024/11/06 (13:12:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (14:19:54) | ===> btop++ v.1.4.0
2024/11/06 (14:19:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (14:22:57) | ===> btop++ v.1.4.0
2024/11/06 (14:22:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (15:01:04) | ===> btop++ v.1.4.0
2024/11/06 (15:01:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (20:03:02) | ===> btop++ v.1.4.0
2024/11/06 (20:03:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (20:04:55) | ===> btop++ v.1.4.0
2024/11/06 (20:04:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (14:14:02) | ===> btop++ v.1.4.0
2024/11/07 (14:14:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (15:12:01) | ===> btop++ v.1.4.0
2024/11/07 (15:12:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (16:07:52) | ===> btop++ v.1.4.0
2024/11/07 (16:07:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (16:35:34) | ===> btop++ v.1.4.0
2024/11/07 (16:35:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (14:01:09) | ===> btop++ v.1.4.0
2024/11/08 (14:01:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (12:42:57) | ===> btop++ v.1.4.0
2024/11/09 (12:42:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (13:28:19) | ===> btop++ v.1.4.0
2024/11/09 (13:28:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (17:36:45) | ===> btop++ v.1.4.0
2024/11/09 (17:36:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (09:06:43) | ===> btop++ v.1.4.0
2024/11/10 (09:06:43) | WARNING: Intel GPU: Failed to initialize PMU
